week,rep,plastic,type,abundance,abundance_cor,log_abundance,type2
2,2_LDPE_5,LDPE,culturable,110.58823529411765,111.58823529411765,2.0476184095103886,(a)~LB~medium
2,2_LDPE_5,LDPE,coliform,0,1,0,(b)~coliform
2,2_LDPE_5,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_HDPE_5,HDPE,culturable,232.94117647058823,233.94117647058823,2.3691066696077066,(a)~LB~medium
2,2_HDPE_5,HDPE,coliform,4.705882352941177,5.705882352941177,0.756322812887971,(b)~coliform
2,2_HDPE_5,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PET_6,PET,culturable,237.64705882352942,238.64705882352942,2.3777560863260523,(a)~LB~medium
2,2_PET_6,PET,coliform,7.0588235294117645,8.058823529411764,0.9062716457781328,(b)~coliform
2,2_PET_6,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PVC_6,PVC,culturable,428.2352941176471,429.2352941176471,2.6326954248743935,(a)~LB~medium
2,2_PVC_6,PVC,coliform,2.3529411764705883,3.3529411764705883,0.5254259342942175,(b)~coliform
2,2_PVC_6,PVC,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
2,2_PP_6,PP,culturable,171.76470588235293,172.76470588235293,2.237455025144526,(a)~LB~medium
2,2_PP_6,PP,coliform,35.294117647058826,36.294117647058826,1.5598362426549677,(b)~coliform
2,2_PP_6,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_LDPE_6,LDPE,culturable,171.76470588235293,172.76470588235293,2.237455025144526,(a)~LB~medium
2,2_LDPE_6,LDPE,coliform,35.294117647058826,36.294117647058826,1.5598362426549677,(b)~coliform
2,2_LDPE_6,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_HDPE_6,HDPE,culturable,534.1176470588235,535.1176470588235,2.728449273332498,(a)~LB~medium
2,2_HDPE_6,HDPE,coliform,23.529411764705884,24.529411764705884,1.3896871335954837,(b)~coliform
2,2_HDPE_6,HDPE,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
2,2_PET_7,PET,culturable,327.05882352941177,328.05882352941177,2.5159517231132873,(a)~LB~medium
2,2_PET_7,PET,coliform,21.176470588235293,22.176470588235293,1.345892428827519,(b)~coliform
2,2_PET_7,PET,ecoli,4.705882352941177,5.705882352941177,0.756322812887971,"(c)~italic(""E.coli"")"
2,2_PVC_7,PVC,culturable,341.1764705882353,342.1764705882353,2.534250142420094,(a)~LB~medium
2,2_PVC_7,PVC,coliform,14.117647058823529,15.117647058823529,1.1794842019530205,(b)~coliform
2,2_PVC_7,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PP_7,PP,culturable,510.5882352941176,511.5882352941176,2.708920548696386,(a)~LB~medium
2,2_PP_7,PP,coliform,44.705882352941174,45.705882352941174,1.6599720974226404,(b)~coliform
2,2_PP_7,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_LDPE_7,LDPE,culturable,232.94117647058823,233.94117647058823,2.3691066696077066,(a)~LB~medium
2,2_LDPE_7,LDPE,coliform,2.3529411764705883,3.3529411764705883,0.5254259342942175,(b)~coliform
2,2_LDPE_7,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_HDPE_7,HDPE,culturable,329.4117647058824,330.4117647058824,2.5190555024978685,(a)~LB~medium
2,2_HDPE_7,HDPE,coliform,4.705882352941177,5.705882352941177,0.756322812887971,(b)~coliform
2,2_HDPE_7,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PET_1,PET,culturable,237.64705882352942,238.64705882352942,2.3777560863260523,(a)~LB~medium
3,3_PET_1,PET,coliform,14.117647058823529,15.117647058823529,1.1794842019530205,(b)~coliform
3,3_PET_1,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PVC_1,PVC,culturable,418.8235294117647,419.8235294117647,2.6230667753786547,(a)~LB~medium
3,3_PVC_1,PVC,coliform,65.88235294117646,66.88235294117646,1.8253115433094609,(b)~coliform
3,3_PVC_1,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PP_1,PP,culturable,72.94117647058823,73.94117647058823,1.8688863563076838,(a)~LB~medium
3,3_PP_1,PP,coliform,14.117647058823529,15.117647058823529,1.1794842019530205,(b)~coliform
3,3_PP_1,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_LDPE_1,LDPE,culturable,108.23529411764706,109.23529411764706,2.0383629823615066,(a)~LB~medium
3,3_LDPE_1,LDPE,coliform,2.3529411764705883,3.3529411764705883,0.5254259342942175,(b)~coliform
3,3_LDPE_1,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_HDPE_1,HDPE,culturable,188.23529411764707,189.23529411764707,2.277002139523696,(a)~LB~medium
3,3_HDPE_1,HDPE,coliform,9.411764705882353,10.411764705882353,1.0175243449835327,(b)~coliform
3,3_HDPE_1,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PET_2,PET,culturable,2.3529411764705883,3.3529411764705883,0.5254259342942175,(a)~LB~medium
3,3_PET_2,PET,coliform,2.3529411764705883,3.3529411764705883,0.5254259342942175,(b)~coliform
3,3_PET_2,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PVC_2,PVC,culturable,771.7647058823529,772.7647058823529,2.888047278533514,(a)~LB~medium
3,3_PVC_2,PVC,coliform,289.4117647058824,290.4117647058824,2.463014205841257,(b)~coliform
3,3_PVC_2,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PP_2,PP,culturable,44.705882352941174,45.705882352941174,1.6599720974226404,(a)~LB~medium
3,3_PP_2,PP,coliform,63.529411764705884,64.52941176470588,1.8097577061964372,(b)~coliform
3,3_PP_2,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_LDPE_2,LDPE,culturable,25.88235294117647,26.88235294117647,1.4294672786915763,(a)~LB~medium
3,3_LDPE_2,LDPE,coliform,4.705882352941177,5.705882352941177,0.756322812887971,(b)~coliform
3,3_LDPE_2,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_HDPE_2,HDPE,culturable,7.0588235294117645,8.058823529411764,0.9062716457781328,(a)~LB~medium
3,3_HDPE_2,HDPE,coliform,2.3529411764705883,3.3529411764705883,0.5254259342942175,(b)~coliform
3,3_HDPE_2,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PET_3,PET,culturable,294.11764705882354,295.11764705882354,2.4699951796494775,(a)~LB~medium
3,3_PET_3,PET,coliform,94.11764705882354,95.11764705882354,1.9782610985281273,(b)~coliform
3,3_PET_3,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PVC_3,PVC,culturable,750.5882352941177,751.5882352941177,2.8759799734151374,(a)~LB~medium
3,3_PVC_3,PVC,coliform,87.05882352941177,88.05882352941177,1.9447728789647785,(b)~coliform
3,3_PVC_3,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PP_3,PP,culturable,275.29411764705884,276.29411764705884,2.441371638804975,(a)~LB~medium
3,3_PP_3,PP,coliform,134.11764705882354,135.11764705882354,2.130712073816752,(b)~coliform
3,3_PP_3,PP,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
3,3_LDPE_3,LDPE,culturable,89.41176470588235,90.41176470588235,1.9562249461214711,(a)~LB~medium
3,3_LDPE_3,LDPE,coliform,70.58823529411765,71.58823529411765,1.8548416568517911,(b)~coliform
3,3_LDPE_3,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_HDPE_3,HDPE,culturable,112.94117647058823,113.94117647058823,2.056680699340837,(a)~LB~medium
3,3_HDPE_3,HDPE,coliform,7.0588235294117645,8.058823529411764,0.9062716457781328,(b)~coliform
3,3_HDPE_3,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PET_4,PET,culturable,1421.1764705882354,1422.1764705882354,3.152953489113542,(a)~LB~medium
3,3_PET_4,PET,coliform,308.2352941176471,309.2352941176471,2.4902890556401513,(b)~coliform
3,3_PET_4,PET,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
3,3_PVC_4,PVC,culturable,1120,1121,3.049605612594973,(a)~LB~medium
3,3_PVC_4,PVC,coliform,207.05882352941177,208.05882352941177,2.3181861384364777,(b)~coliform
3,3_PVC_4,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PP_4,PP,culturable,1176.4705882352941,1177.4705882352941,3.0709500677952906,(a)~LB~medium
3,3_PP_4,PP,coliform,164.7058823529412,165.7058823529412,2.2193379256074994,(b)~coliform
3,3_PP_4,PP,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
3,3_LDPE_4,LDPE,culturable,204.7058823529412,205.7058823529412,2.313246710930971,(a)~LB~medium
3,3_LDPE_4,LDPE,coliform,35.294117647058826,36.294117647058826,1.5598362426549677,(b)~coliform
3,3_LDPE_4,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_HDPE_4,HDPE,culturable,310.5882352941176,311.5882352941176,2.4935810515573236,(a)~LB~medium
3,3_HDPE_4,HDPE,coliform,68.23529411764706,69.23529411764706,1.8403275414651608,(b)~coliform
3,3_HDPE_4,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PET_5,PET,culturable,58.8235294117647,59.8235294117647,1.7768720315444706,(a)~LB~medium
3,3_PET_5,PET,coliform,11.764705882352942,12.764705882352942,1.1060108124702557,(b)~coliform
3,3_PET_5,PET,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
3,3_PVC_5,PVC,culturable,223.52941176470588,224.52941176470588,2.351273238570825,(a)~LB~medium
3,3_PVC_5,PVC,coliform,7.0588235294117645,8.058823529411764,0.9062716457781328,(b)~coliform
3,3_PVC_5,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PP_5,PP,culturable,131.76470588235293,132.76470588235293,2.123082637699488,(a)~LB~medium
3,3_PP_5,PP,coliform,4.705882352941177,5.705882352941177,0.756322812887971,(b)~coliform
3,3_PP_5,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_LDPE_5,LDPE,culturable,117.6470588235294,118.6470588235294,2.0742569768344916,(a)~LB~medium
3,3_LDPE_5,LDPE,coliform,18.823529411764707,19.823529411764707,1.2971809794930647,(b)~coliform
3,3_LDPE_5,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_HDPE_5,HDPE,culturable,77.6470588235294,78.6470588235294,1.8956824858837105,(a)~LB~medium
3,3_HDPE_5,HDPE,coliform,9.411764705882353,10.411764705882353,1.0175243449835327,(b)~coliform
3,3_HDPE_5,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PET_6,PET,culturable,240,241,2.3820170425748683,(a)~LB~medium
3,3_PET_6,PET,coliform,21.176470588235293,22.176470588235293,1.345892428827519,(b)~coliform
3,3_PET_6,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
3,3_PVC_6,PVC,culturable,395.29411764705884,396.29411764705884,2.5980176259744043,(a)~LB~medium
