site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
"falmouth
wharf",PVC,"falmouth
wharf_PVC_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_4",culturable,21.37,22.37,1.3496659840966296,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_4",coliform,9.5,10.5,1.021189299069938,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_5",culturable,360.98,361.98,2.558684575700048,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_5",coliform,199.49,200.49,2.3020927158433557,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_5",ecoli,9.5,10.5,1.021189299069938,"(c)~italic(""E.coli"")"
"falmouth
wharf",PVC,"falmouth
wharf_PVC_6",culturable,284.98,285.98,2.456335661823607,(a)~LB~medium
"falmouth
wharf",PVC,"falmouth
wharf_PVC_6",coliform,16.62,17.62,1.2460059040760292,(b)~coliform
"falmouth
wharf",PVC,"falmouth
wharf_PVC_6",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_1",culturable,19,20,1.3010299956639813,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_1",coliform,0,1,0,(b)~coliform
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_2",culturable,54.62,55.62,1.7452309845281406,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_2",coliform,0,1,0,(b)~coliform
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_3",culturable,49.87,50.87,1.7064617376313547,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_3",coliform,0,1,0,(b)~coliform
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_4",culturable,76,77,1.8864907251724818,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_4",coliform,0,1,0,(b)~coliform
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_4",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_5",culturable,451.23,452.23,2.655359369159926,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_5",coliform,52.25,53.25,1.7263196121107753,(b)~coliform
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_5",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_6",culturable,569.97,570.97,2.756613290072936,(a)~LB~medium
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_6",coliform,14.25,15.25,1.1832698436828046,(b)~coliform
